,,,,,,After Applying,(1-Rowij2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
ADANIENT,0,0.279521584,0.377854507,0.37057515,0.44028654,0.663910808,0.998511738,0.429331559,0.254770087,0.811481649,0.735811196,0.269320379,0.355923128,0.849393137,0.987858825,0.759993091,0.326129757,0.596725468,0.69456803,0.56442904,0.990421267,0.994958716,0.430957586,0.506858982,0.228522358,0.577849628,0.533961671,0.490776467,0.360532689,0.644054121,0.339113923,0.223525332,0.342160589,0.529323049,0.259104273,0.467386122,0.514147785,0.392060113,0.241216149,0.21307488,0.191996768,0.356815248,0.379564944,0.987199114,0.564918606,0.773840784,0.251482601,0.543545723,0.42474753,0.847243313
ADANIPORTS,0.279521584,0,0.222806125,0.146253568,0.371033631,0.3993905,0.899592136,0.183470896,0.439886962,0.994769239,0.854764314,0.209358928,0.664616551,0.512500003,0.886581252,0.56069616,0.110209636,0.33738772,0.456317927,0.341019726,0.932299603,0.947005658,0.183268472,0.591988217,0.24893511,0.478045769,0.250146185,0.724199622,0.156677358,0.418282608,0.355852502,0.435153057,0.480675108,0.629840922,0.476649035,0.363851787,0.394730004,0.333188938,0.298850002,0.219671577,0.293672373,0.133428914,0.247863561,0.908001224,0.246459684,0.483027496,0.288502689,0.258727215,0.199433174,0.487081911
APOLLOHOSP,0.377854507,0.222806125,0,0.123149422,0.384176854,0.537265379,0.909314098,0.134887947,0.309344263,0.971163205,0.73969596,0.272820848,0.643092928,0.487879428,0.895907302,0.555655106,0.088719748,0.15682061,0.381177058,0.301246113,0.9722924,0.995175031,0.121140624,0.610290713,0.192755253,0.551196475,0.162623103,0.654707437,0.161006287,0.427762217,0.202324162,0.426519429,0.445889483,0.464858007,0.393769582,0.226330228,0.539443679,0.304814247,0.209730561,0.182353639,0.199393805,0.113033479,0.14686883,0.919171236,0.148419858,0.26380168,0.132061817,0.137845038,0.253977397,0.396367344
ASIANPAINT,0.37057515,0.146253568,0.123149422,0,0.440187782,0.477347635,0.854140933,0.097684291,0.454611842,0.983934944,0.817030793,0.220544095,0.704650141,0.394043621,0.841861752,0.480592951,0.114981911,0.20915796,0.415633015,0.331929169,0.941359987,0.966057465,0.16587215,0.544288596,0.246379819,0.54270352,0.158980781,0.73899856,0.164700881,0.352947075,0.322587051,0.468054412,0.428040562,0.482818963,0.490038339,0.346798212,0.543493024,0.315184169,0.236856236,0.251145148,0.277659791,0.086796149,0.218048882,0.897438656,0.153695677,0.308872142,0.199440332,0.206828078,0.240602784,0.368192811
AXISBANK,0.44028654,0.371033631,0.384176854,0.440187782,0,0.366245488,0.999936064,0.325778368,0.434166576,0.999701471,0.666100934,0.5402265,0.442083624,0.840076791,0.976139328,0.738844251,0.262594809,0.479697458,0.222046012,0.17141763,0.983526534,0.980112231,0.3794137,0.585194445,0.166140641,0.142681413,0.54278196,0.457035867,0.283920174,0.371797922,0.168153853,0.35073793,0.369295599,0.597981866,0.335479937,0.380867078,0.396988735,0.614721579,0.366431759,0.169794744,0.342650386,0.409607543,0.363068314,0.999316021,0.484183014,0.67639375,0.325784937,0.295165872,0.374583166,0.775366658
BAJAJ-AUTO,0.663910808,0.3993905,0.537265379,0.477347635,0.366245488,0,0.977748609,0.466930627,0.686080719,0.984963109,0.681976188,0.501405843,0.719733522,0.733471482,0.776573618,0.6384335,0.368949294,0.50831295,0.393046819,0.268160813,0.884739071,0.793880368,0.493571357,0.678406664,0.410515407,0.432025243,0.588470052,0.629786164,0.357998438,0.475447452,0.437196959,0.47472874,0.473568491,0.67679638,0.598372345,0.543338962,0.376817642,0.55841317,0.559857981,0.443200484,0.50283399,0.38156403,0.436252809,0.969440415,0.466751003,0.756723181,0.560448238,0.368065627,0.386405078,0.714350371
BAJAJFINSV,0.998511738,0.899592136,0.909314098,0.854140933,0.999936064,0.977748609,0,0.818235057,0.995417387,0.820116288,0.825672039,0.981022458,0.919212739,0.518569402,0.982053915,0.942267444,0.936721591,0.876915504,0.948886477,0.981744477,0.703405394,0.985749371,0.841155506,0.993125434,0.998946738,0.994130755,0.752405187,0.80759846,0.947584187,0.904334129,0.999982719,0.9573689,0.99300067,0.987246589,0.975805131,0.940322396,0.999904391,0.950566258,0.951229694,0.993267962,0.99991132,0.892982038,0.940008805,0.322486635,0.795050034,0.60481175,0.988434718,0.921148552,0.882972379,0.500826664
BAJFINANCE,0.429331559,0.183470896,0.134887947,0.097684291,0.325778368,0.466930627,0.818235057,0,0.441203384,0.999643432,0.833358064,0.343608368,0.672575716,0.42704335,0.920237814,0.586265459,0.128605755,0.237223096,0.303499592,0.263690133,0.909592139,0.968796191,0.150493074,0.590122193,0.230732428,0.364787812,0.185843882,0.741225327,0.208732821,0.248912578,0.293475698,0.489476889,0.436131168,0.585897454,0.489149591,0.30780096,0.549154898,0.375964778,0.186401412,0.221114323,0.329240638,0.126360212,0.22755061,0.879402853,0.189177191,0.274978404,0.214037963,0.201248475,0.261864714,0.375680361
BHARTIARTL,0.254770087,0.439886962,0.309344263,0.454611842,0.434166576,0.686080719,0.995417387,0.441203384,0,0.798745479,0.633284975,0.425254066,0.277865454,0.895191117,0.999854725,0.875847363,0.334346353,0.541011365,0.634965319,0.544775862,0.961670975,0.983779685,0.40816674,0.60962371,0.189483318,0.62288119,0.574761677,0.33663699,0.430390174,0.640422276,0.193558284,0.28425016,0.374322164,0.375538128,0.142175789,0.245499296,0.544375,0.419519057,0.239263671,0.197746589,0.132382268,0.421905894,0.296082356,0.988011283,0.553280206,0.695081786,0.152234169,0.48480192,0.492225468,0.847690888
BPCL,0.811481649,0.994769239,0.971163205,0.983934944,0.999701471,0.984963109,0.820116288,0.999643432,0.798745479,0,0.94374375,0.934370271,0.747699733,0.922613662,0.95159736,0.990537185,0.988382394,0.999634961,0.957195287,0.996245007,0.468459851,0.916842743,0.99729111,0.977048053,0.923468097,0.988462233,0.99980956,0.755085867,0.996902855,0.99939144,0.935650009,0.799342589,0.847098667,0.878342048,0.784000001,0.951205841,0.966223809,0.916437379,0.952979547,0.941994168,0.843119049,0.990980509,0.942690992,0.684345927,0.999960825,0.989205413,0.856440095,0.994938247,0.997446921,0.919852125
BRITANNIA,0.735811196,0.854764314,0.73969596,0.817030793,0.666100934,0.681976188,0.825672039,0.833358064,0.633284975,0.94374375,0,0.688898205,0.65210293,0.990046745,0.858039846,0.872055002,0.728702777,0.731574462,0.727094061,0.596885482,0.999122596,0.9216084,0.836278609,0.575883857,0.612681722,0.784236034,0.890636849,0.402801798,0.729829791,0.852229721,0.559530185,0.438056362,0.557008588,0.490609471,0.563302389,0.801422816,0.770267676,0.679675695,0.688310043,0.687186866,0.551819292,0.711610594,0.761005145,0.851331919,0.823301674,0.963365657,0.677464602,0.692056025,0.82534956,0.986599159
CIPLA,0.269320379,0.209358928,0.272820848,0.220544095,0.5402265,0.501405843,0.981022458,0.343608368,0.425254066,0.934370271,0.688898205,0,0.704471859,0.545927525,0.709697793,0.471206339,0.233972447,0.301958131,0.622797668,0.436017024,0.959426358,0.868783631,0.312478769,0.590236144,0.352548033,0.701002105,0.271061419,0.698717572,0.240071116,0.574603854,0.437672487,0.343084887,0.383716909,0.549354967,0.499497519,0.51388706,0.531391298,0.194484775,0.341472619,0.365388609,0.226717197,0.15568895,0.360051199,0.972758498,0.284182476,0.58130818,0.319269396,0.381683558,0.342749296,0.57406103
COALINDIA,0.355923128,0.664616551,0.643092928,0.704650141,0.442083624,0.719733522,0.919212739,0.672575716,0.277865454,0.747699733,0.65210293,0.704471859,0,0.999901514,0.963784388,0.965968236,0.5927148,0.840246305,0.749323543,0.682840677,0.83686479,0.968325611,0.699010609,0.603481688,0.300856522,0.534195115,0.871182894,0.148488145,0.644346401,0.745861009,0.326116623,0.277409897,0.38470409,0.506689026,0.113178509,0.487909484,0.547271532,0.684881687,0.418040043,0.3276164,0.34973033,0.689454605,0.541821282,0.821824836,0.850616204,0.951078081,0.381055907,0.731392061,0.683177363,0.99816422
DIVISLAB,0.849393137,0.512500003,0.487879428,0.394043621,0.840076791,0.733471482,0.518569402,0.42704335,0.895191117,0.922613662,0.990046745,0.545927525,0.999901514,0,0.652265704,0.50710614,0.527290123,0.369071624,0.642857507,0.638005244,0.609866096,0.886849168,0.448790271,0.88385127,0.791914405,0.860756839,0.280804413,0.999082637,0.503493745,0.618680165,0.828629667,0.926187804,0.896899285,0.871168537,0.95322772,0.752799121,0.912030813,0.610899759,0.715355343,0.772210483,0.78002962,0.386376878,0.665987668,0.427497424,0.32380133,0.287734894,0.737894911,0.476779244,0.54546245,0.10242945
DRREDDY,0.987858825,0.886581252,0.895907302,0.841861752,0.976139328,0.776573618,0.982053915,0.920237814,0.999854725,0.95159736,0.858039846,0.709697793,0.963784388,0.652265704,0,0.597226993,0.87964582,0.711411862,0.876966019,0.802229458,0.686995557,0.583356861,0.912295178,0.948535448,0.972505054,0.992302219,0.795440992,0.999980331,0.821334009,0.898717574,0.97483462,0.951584599,0.948606203,0.922262753,0.999993364,0.994105599,0.937754241,0.808549122,0.980168601,0.98412526,0.944942663,0.79419079,0.946393396,0.894133062,0.765568759,0.878822909,0.97037023,0.820129011,0.896628105,0.72653794
EICHERMOT,0.759993091,0.56069616,0.555655106,0.480592951,0.738844251,0.6384335,0.942267444,0.586265459,0.875847363,0.990537185,0.872055002,0.471206339,0.965968236,0.50710614,0.597226993,0,0.538471349,0.415175791,0.684581852,0.51699585,0.897349607,0.748600046,0.575191956,0.857300404,0.686595969,0.833144907,0.459466256,0.927813207,0.522510708,0.637966737,0.732231009,0.708137501,0.678900978,0.838338911,0.84788908,0.776291812,0.741741908,0.515262395,0.793308835,0.702632641,0.670683553,0.420780066,0.599746386,0.901241909,0.412405697,0.61361344,0.665798078,0.561275256,0.651347541,0.572256532
GRASIM,0.326129757,0.110209636,0.088719748,0.114981911,0.262594809,0.368949294,0.936721591,0.128605755,0.334346353,0.988382394,0.728702777,0.233972447,0.5927148,0.527290123,0.87964582,0.538471349,0,0.202299154,0.32244054,0.210278072,0.96179617,0.979831172,0.103779937,0.563286529,0.126220003,0.424726293,0.196755655,0.59518721,0.07108185,0.369870447,0.160742468,0.352071596,0.385369088,0.492131403,0.345562685,0.212478644,0.393331926,0.31491271,0.220847772,0.106071352,0.178652936,0.09438702,0.108841344,0.933913473,0.169184157,0.374814068,0.141884941,0.090072882,0.155826773,0.449763915
HCLTECH,0.596725468,0.33738772,0.15682061,0.20915796,0.479697458,0.50831295,0.876915504,0.237223096,0.541011365,0.999634961,0.731574462,0.301958131,0.840246305,0.369071624,0.711411862,0.415175791,0.202299154,0,0.355337138,0.261515859,0.858596927,0.920023594,0.184683103,0.710978714,0.39527603,0.638297592,0.110222842,0.80196788,0.244510482,0.427226515,0.375231481,0.565487001,0.535027392,0.589212581,0.609677441,0.383585015,0.637382861,0.300197482,0.408780488,0.394733116,0.351776955,0.171277443,0.290869274,0.823846034,0.059319207,0.200383111,0.323702649,0.164103053,0.335072284,0.267022588
HDFC,0.69456803,0.456317927,0.381177058,0.415633015,0.222046012,0.393046819,0.948886477,0.303499592,0.634965319,0.957195287,0.727094061,0.622797668,0.749323543,0.642857507,0.876966019,0.684581852,0.32244054,0.355337138,0,0.097420198,0.806795798,0.943072426,0.418151416,0.602294452,0.348581519,0.266513952,0.470673908,0.714096979,0.366777163,0.21454144,0.323775016,0.590593257,0.606188528,0.590873463,0.615711592,0.49393565,0.602339856,0.686200608,0.483388375,0.375179312,0.544721884,0.405649975,0.426360388,0.936544375,0.394152597,0.497069401,0.475819656,0.196174787,0.466432571,0.554670671
HDFCBANK,0.56442904,0.341019726,0.301246113,0.331929169,0.17141763,0.268160813,0.981744477,0.263690133,0.544775862,0.996245007,0.596885482,0.436017024,0.682840677,0.638005244,0.802229458,0.51699585,0.210278072,0.261515859,0.097420198,0,0.870779881,0.882960748,0.325131178,0.584192981,0.250255289,0.287599855,0.39066364,0.600129683,0.24541938,0.232052742,0.237174187,0.400824924,0.431189902,0.535646341,0.498166606,0.432111155,0.438679881,0.50294962,0.431891087,0.279341625,0.382980324,0.271573597,0.322005853,0.967573715,0.29438488,0.529265418,0.364158024,0.150894882,0.390833799,0.578604278
HDFCLIFE,0.990421267,0.932299603,0.9722924,0.941359987,0.983526534,0.884739071,0.703405394,0.909592139,0.961670975,0.468459851,0.999122596,0.959426358,0.83686479,0.609866096,0.686995557,0.897349607,0.96179617,0.858596927,0.806795798,0.870779881,0,0.584413484,0.961155138,0.98726104,0.999545713,0.946449412,0.869764182,0.860697874,0.962550397,0.838954297,0.998629594,0.989687801,0.995664568,0.995960508,0.927138335,0.9984,0.999735547,0.982268148,0.992629778,0.999854049,0.991324195,0.918978363,0.995391084,0.610564094,0.856588582,0.84456536,0.99437545,0.888494094,0.945574376,0.658395988
HEROMOTOCO,0.994958716,0.947005658,0.995175031,0.966057465,0.980112231,0.793880368,0.985749371,0.968796191,0.983779685,0.916842743,0.9216084,0.868783631,0.968325611,0.886849168,0.583356861,0.748600046,0.979831172,0.920023594,0.943072426,0.882960748,0.584413484,0,0.988363632,0.993802689,0.997614068,0.962064258,0.947161162,0.992555071,0.977120715,0.916014221,0.999956387,0.955156432,0.915379517,0.999052284,0.991006702,0.992531756,0.970789772,0.891780055,0.992921807,0.9996783,0.996202976,0.922745465,0.993071602,0.980487263,0.925712682,0.993587514,0.999556982,0.973000909,0.973268077,0.94694072
HINDALCO,0.430957586,0.183268472,0.121140624,0.16587215,0.3794137,0.493571357,0.841155506,0.150493074,0.40816674,0.99729111,0.836278609,0.312478769,0.699010609,0.448790271,0.912295178,0.575191956,0.103779937,0.184683103,0.418151416,0.325131178,0.961155138,0.988363632,0,0.721398658,0.26935628,0.54774644,0.128372368,0.750497752,0.13005019,0.46108104,0.27963532,0.533648956,0.516677494,0.637087734,0.470218365,0.196879331,0.53309701,0.336454536,0.288006623,0.215758691,0.251570846,0.152909859,0.188227832,0.830452879,0.136867956,0.267546453,0.222650958,0.178290384,0.186516864,0.347276584
HINDUNILVR,0.506858982,0.591988217,0.610290713,0.544288596,0.585194445,0.678406664,0.993125434,0.590122193,0.60962371,0.977048053,0.575883857,0.590236144,0.603481688,0.88385127,0.948535448,0.857300404,0.563286529,0.710978714,0.602294452,0.584192981,0.98726104,0.993802689,0.721398658,0,0.481712314,0.652795044,0.758410056,0.591809346,0.57805102,0.690298846,0.547092536,0.494487532,0.664425413,0.426802618,0.552390831,0.779256952,0.767832142,0.755985736,0.494648204,0.543478159,0.531307779,0.540417694,0.699591871,0.972928234,0.716778061,0.884156432,0.588240361,0.561516323,0.675235646,0.894248862
