,,,,,,After Applying,(1-Rowij2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,0.228522358,0.24893511,0.192755253,0.246379819,0.166140641,0.410515407,0.998946738,0.230732428,0.189483318,0.923468097,0.612681722,0.352548033,0.300856522,0.791914405,0.972505054,0.686595969,0.126220003,0.39527603,0.348581519,0.250255289,0.999545713,0.997614068,0.26935628,0.481712314,0,0.32594258,0.430669388,0.322308832,0.19997172,0.386943886,0.044401863,0.167279874,0.226590563,0.37251422,0.128039971,0.207422888,0.361365671,0.392320507,0.16000942,0.028344253,0.105573961,0.236013872,0.138342655,0.999635839,0.393951763,0.590772395,0.082555944,0.238799589,0.288254678,0.730487431
INDUSINDBK,0.577849628,0.478045769,0.551196475,0.54270352,0.142681413,0.432025243,0.994130755,0.364787812,0.62288119,0.988462233,0.784236034,0.701002105,0.534195115,0.860756839,0.992302219,0.833144907,0.424726293,0.638297592,0.266513952,0.287599855,0.946449412,0.962064258,0.54774644,0.652795044,0.32594258,0,0.680648427,0.592594812,0.472308172,0.328491864,0.360481509,0.493772019,0.482066455,0.745813619,0.498210526,0.550789066,0.520785784,0.730196631,0.44185952,0.339268375,0.563278599,0.529055447,0.516171246,0.998718933,0.651564799,0.748592023,0.49234375,0.453921861,0.501506106,0.822209591
INFY,0.533961671,0.250146185,0.162623103,0.158980781,0.54278196,0.588470052,0.752405187,0.185843882,0.574761677,0.99980956,0.890636849,0.271061419,0.871182894,0.280804413,0.795440992,0.459466256,0.196755655,0.110222842,0.470673908,0.39066364,0.869764182,0.947161162,0.128372368,0.758410056,0.430669388,0.680648427,0,0.891080199,0.226419943,0.488719228,0.459317733,0.62988351,0.588262178,0.725420856,0.664491449,0.391280158,0.652111188,0.33132746,0.374091171,0.392474845,0.388050518,0.161768198,0.290832221,0.739387708,0.060166697,0.151375821,0.354786224,0.231435684,0.259142146,0.186406824
ITC,0.490776467,0.724199622,0.654707437,0.73899856,0.457035867,0.629786164,0.80759846,0.741225327,0.33663699,0.755085867,0.402801798,0.698717572,0.148488145,0.999082637,0.999980331,0.927813207,0.59518721,0.80196788,0.714096979,0.600129683,0.860697874,0.992555071,0.750497752,0.591809346,0.322308832,0.592594812,0.891080199,0,0.632184436,0.766413377,0.29233377,0.213637194,0.371874008,0.416936421,0.165097487,0.546711547,0.498207693,0.688766558,0.535206029,0.393752453,0.341432044,0.689676358,0.55045657,0.766655935,0.840583467,0.96407383,0.419433721,0.676249242,0.727547319,0.999460971
JSWSTEEL,0.360532689,0.156677358,0.161006287,0.164700881,0.283920174,0.357998438,0.947584187,0.208732821,0.430390174,0.996902855,0.729829791,0.240071116,0.644346401,0.503493745,0.821334009,0.522510708,0.07108185,0.244510482,0.366777163,0.24541938,0.962550397,0.977120715,0.13005019,0.57805102,0.19997172,0.472308172,0.226419943,0.632184436,0,0.463289914,0.241655111,0.406434533,0.464173072,0.547048118,0.415516815,0.303117308,0.442259888,0.36084612,0.298439642,0.181400295,0.209364263,0.119998409,0.233645076,0.915042907,0.211441792,0.443021384,0.247207772,0.130016613,0.149266788,0.452990361
KOTAKBANK,0.644054121,0.418282608,0.427762217,0.352947075,0.371797922,0.475447452,0.904334129,0.248912578,0.640422276,0.99939144,0.852229721,0.574603854,0.745861009,0.618680165,0.898717574,0.637966737,0.369870447,0.427226515,0.21454144,0.232052742,0.838954297,0.916014221,0.46108104,0.690298846,0.386943886,0.328491864,0.488719228,0.766413377,0.463289914,0,0.438027876,0.581634237,0.514986648,0.616910801,0.625682406,0.51522619,0.533672174,0.589927544,0.477279676,0.421834422,0.5769187,0.405563626,0.410718083,0.939562203,0.429612542,0.521935618,0.428377813,0.392563698,0.569064207,0.596711498
LT,0.339113923,0.355852502,0.202324162,0.322587051,0.168153853,0.437196959,0.999982719,0.293475698,0.193558284,0.935650009,0.559530185,0.437672487,0.326116623,0.828629667,0.97483462,0.732231009,0.160742468,0.375231481,0.323775016,0.237174187,0.998629594,0.999956387,0.27963532,0.547092536,0.044401863,0.360481509,0.459317733,0.29233377,0.241655111,0.438027876,0,0.218789733,0.273335817,0.359855992,0.14381991,0.184072596,0.39158908,0.46400177,0.215399106,0.064299756,0.127429167,0.310674974,0.154017628,0.998929794,0.403753491,0.575382253,0.104141536,0.21966451,0.333234666,0.73975412
M&M,0.223525332,0.435153057,0.426519429,0.468054412,0.35073793,0.47472874,0.9573689,0.489476889,0.28425016,0.799342589,0.438056362,0.343084887,0.277409897,0.926187804,0.951584599,0.708137501,0.352071596,0.565487001,0.590593257,0.400824924,0.989687801,0.955156432,0.533648956,0.494487532,0.167279874,0.493772019,0.62988351,0.213637194,0.406434533,0.581634237,0.218789733,0,0.133682099,0.44499437,0.162978118,0.461681375,0.375590282,0.381667832,0.30030121,0.22440626,0.16160339,0.389973394,0.330408022,0.923167367,0.588195442,0.837220028,0.259610309,0.490422461,0.505242508,0.913431649
MARUTI,0.342160589,0.480675108,0.445889483,0.428040562,0.369295599,0.473568491,0.99300067,0.436131168,0.374322164,0.847098667,0.557008588,0.383716909,0.38470409,0.896899285,0.948606203,0.678900978,0.385369088,0.535027392,0.606188528,0.431189902,0.995664568,0.915379517,0.516677494,0.664425413,0.226590563,0.482066455,0.588262178,0.371874008,0.464173072,0.514986648,0.273335817,0.133682099,0,0.528131297,0.256102375,0.428698336,0.408354436,0.35778689,0.300006738,0.27930597,0.248342212,0.410085373,0.32349046,0.966683164,0.548145816,0.771053062,0.258976876,0.538865293,0.511137539,0.883111228
NESTLEIND,0.529323049,0.629840922,0.464858007,0.482818963,0.597981866,0.67679638,0.987246589,0.585897454,0.375538128,0.878342048,0.490609471,0.549354967,0.506689026,0.871168537,0.922262753,0.838338911,0.492131403,0.589212581,0.590873463,0.535646341,0.995960508,0.999052284,0.637087734,0.426802618,0.37251422,0.745813619,0.725420856,0.416936421,0.547048118,0.616910801,0.359855992,0.44499437,0.528131297,0,0.401564701,0.57806661,0.710046828,0.611182903,0.46318881,0.459295674,0.376321789,0.517311321,0.516518972,0.967591719,0.64836286,0.784242537,0.361547863,0.49504764,0.675633301,0.869678278
NTPC,0.259104273,0.476649035,0.393769582,0.490038339,0.335479937,0.598372345,0.975805131,0.489149591,0.142175789,0.784000001,0.563302389,0.499497519,0.113178509,0.95322772,0.999993364,0.84788908,0.345562685,0.609677441,0.615711592,0.498166606,0.927138335,0.991006702,0.470218365,0.552390831,0.128039971,0.498210526,0.664491449,0.165097487,0.415516815,0.625682406,0.14381991,0.162978118,0.256102375,0.401564701,0,0.261701467,0.419650095,0.46557467,0.258301834,0.150078264,0.135233915,0.450707054,0.300309574,0.950854874,0.625442536,0.800836839,0.177998471,0.492675721,0.466929166,0.920999655
ONGC,0.467386122,0.363851787,0.226330228,0.346798212,0.380867078,0.543338962,0.940322396,0.30780096,0.245499296,0.951205841,0.801422816,0.51388706,0.487909484,0.752799121,0.994105599,0.776291812,0.212478644,0.383585015,0.49393565,0.432111155,0.9984,0.992531756,0.196879331,0.779256952,0.207422888,0.550789066,0.391280158,0.546711547,0.303117308,0.51522619,0.184072596,0.461681375,0.428698336,0.57806661,0.261701467,0,0.431465904,0.403907915,0.283424206,0.156440413,0.231868702,0.336390997,0.117491942,0.95053735,0.343830338,0.447386176,0.171166378,0.326919228,0.320412454,0.629302895
POWERGRID,0.514147785,0.394730004,0.539443679,0.543493024,0.396988735,0.376817642,0.999904391,0.549154898,0.544375,0.966223809,0.770267676,0.531391298,0.547271532,0.912030813,0.937754241,0.741741908,0.393331926,0.637382861,0.602339856,0.438679881,0.999735547,0.970789772,0.53309701,0.767832142,0.361365671,0.520785784,0.652111188,0.498207693,0.442259888,0.533672174,0.39158908,0.375590282,0.408354436,0.710046828,0.419650095,0.431465904,0,0.536731913,0.563614246,0.352577,0.444274479,0.509043334,0.339042382,0.99958722,0.585300063,0.809190909,0.430201478,0.5376204,0.478051548,0.863706866
RELIANCE,0.392060113,0.333188938,0.304814247,0.315184169,0.614721579,0.55841317,0.950566258,0.375964778,0.419519057,0.916437379,0.679675695,0.194484775,0.684881687,0.610899759,0.808549122,0.515262395,0.31491271,0.300197482,0.686200608,0.50294962,0.982268148,0.891780055,0.336454536,0.755985736,0.392320507,0.730196631,0.33132746,0.688766558,0.36084612,0.589927544,0.46400177,0.381667832,0.35778689,0.611182903,0.46557467,0.403907915,0.536731913,0,0.347791931,0.391205256,0.25985466,0.200830155,0.313332548,0.967955062,0.308637684,0.54378621,0.29705358,0.46661517,0.386546068,0.616860046
SBILIFE,0.241216149,0.298850002,0.209730561,0.236856236,0.366431759,0.559857981,0.951229694,0.186401412,0.239263671,0.952979547,0.688310043,0.341472619,0.418040043,0.715355343,0.980168601,0.793308835,0.220847772,0.408780488,0.483388375,0.431891087,0.992629778,0.992921807,0.288006623,0.494648204,0.16000942,0.44185952,0.374091171,0.535206029,0.298439642,0.477279676,0.215399106,0.30030121,0.300006738,0.46318881,0.258301834,0.283424206,0.563614246,0.347791931,0,0.162339403,0.188501708,0.235204275,0.246478781,0.994698558,0.390215493,0.510309351,0.171821738,0.337013222,0.276406487,0.653480582
SBIN,0.21307488,0.219671577,0.182353639,0.251145148,0.169794744,0.443200484,0.993267962,0.221114323,0.197746589,0.941994168,0.687186866,0.365388609,0.3276164,0.772210483,0.98412526,0.702632641,0.106071352,0.394733116,0.375179312,0.279341625,0.999854049,0.9996783,0.215758691,0.543478159,0.028344253,0.339268375,0.392474845,0.393752453,0.181400295,0.421834422,0.064299756,0.22440626,0.27930597,0.459295674,0.150078264,0.156440413,0.352577,0.391205256,0.162339403,0,0.119636271,0.239978709,0.119733849,0.998010751,0.370875006,0.561601078,0.096407169,0.240092037,0.240705609,0.69693874
SUNPHARMA,0.191996768,0.293672373,0.199393805,0.277659791,0.342650386,0.50283399,0.99991132,0.329240638,0.132382268,0.843119049,0.551819292,0.226717197,0.34973033,0.78002962,0.944942663,0.670683553,0.178652936,0.351776955,0.544721884,0.382980324,0.991324195,0.996202976,0.251570846,0.531307779,0.105573961,0.563278599,0.388050518,0.341432044,0.209364263,0.5769187,0.127429167,0.16160339,0.248342212,0.376321789,0.135233915,0.231868702,0.444274479,0.25985466,0.188501708,0.119636271,0,0.216835179,0.196115613,0.999506894,0.36536471,0.613440616,0.098666223,0.317482787,0.312180236,0.737893887
TATACONSUM,0.356815248,0.133428914,0.113033479,0.086796149,0.409607543,0.38156403,0.892982038,0.126360212,0.421905894,0.990980509,0.711610594,0.15568895,0.689454605,0.386376878,0.79419079,0.420780066,0.09438702,0.171277443,0.405649975,0.271573597,0.918978363,0.922745465,0.152909859,0.540417694,0.236013872,0.529055447,0.161768198,0.689676358,0.119998409,0.405563626,0.310674974,0.389973394,0.410085373,0.517311321,0.450707054,0.336390997,0.509043334,0.200830155,0.235204275,0.239978709,0.216835179,0,0.21301988,0.89808263,0.13483586,0.370059359,0.229646221,0.167458721,0.200191738,0.394863811
TATAMOTORS,0.379564944,0.247863561,0.14686883,0.218048882,0.363068314,0.436252809,0.940008805,0.22755061,0.296082356,0.942690992,0.761005145,0.360051199,0.541821282,0.665987668,0.946393396,0.599746386,0.108841344,0.290869274,0.426360388,0.322005853,0.995391084,0.993071602,0.188227832,0.699591871,0.138342655,0.516171246,0.290832221,0.55045657,0.233645076,0.410718083,0.154017628,0.330408022,0.32349046,0.516518972,0.300309574,0.117491942,0.339042382,0.313332548,0.246478781,0.119733849,0.196115613,0.21301988,0,0.967813846,0.252805725,0.402964072,0.11551806,0.232935824,0.260236591,0.554108602
TATASTEEL,0.987199114,0.908001224,0.919171236,0.897438656,0.999316021,0.969440415,0.322486635,0.879402853,0.988011283,0.684345927,0.851331919,0.972758498,0.821824836,0.427497424,0.894133062,0.901241909,0.933913473,0.823846034,0.936544375,0.967573715,0.610564094,0.980487263,0.830452879,0.972928234,0.999635839,0.998718933,0.739387708,0.766655935,0.915042907,0.939562203,0.998929794,0.923167367,0.966683164,0.967591719,0.950854874,0.95053735,0.99958722,0.967955062,0.994698558,0.998010751,0.999506894,0.89808263,0.967813846,0,0.765713023,0.609238738,0.99872351,0.890300598,0.873754804,0.411173978
TCS,0.564918606,0.246459684,0.148419858,0.153695677,0.484183014,0.466751003,0.795050034,0.189177191,0.553280206,0.999960825,0.823301674,0.284182476,0.850616204,0.32380133,0.765568759,0.412405697,0.169184157,0.059319207,0.394152597,0.29438488,0.856588582,0.925712682,0.136867956,0.716778061,0.393951763,0.651564799,0.060166697,0.840583467,0.211441792,0.429612542,0.403753491,0.588195442,0.548145816,0.64836286,0.625442536,0.343830338,0.585300063,0.308637684,0.390215493,0.370875006,0.36536471,0.13483586,0.252805725,0.765713023,0,0.190221385,0.337382836,0.179649544,0.266522517,0.223257431
TECHM,0.773840784,0.483027496,0.26380168,0.308872142,0.67639375,0.756723181,0.60481175,0.274978404,0.695081786,0.989205413,0.963365657,0.58130818,0.951078081,0.287734894,0.878822909,0.61361344,0.374814068,0.200383111,0.497069401,0.529265418,0.84456536,0.993587514,0.267546453,0.884156432,0.590772395,0.748592023,0.151375821,0.96407383,0.443021384,0.521935618,0.575382253,0.837220028,0.771053062,0.784242537,0.800836839,0.447386176,0.809190909,0.54378621,0.510309351,0.561601078,0.613440616,0.370059359,0.402964072,0.609238738,0.190221385,0,0.472088769,0.332001095,0.431204986,0.118643294
TITAN,0.251482601,0.288502689,0.132061817,0.199440332,0.325784937,0.560448238,0.988434718,0.214037963,0.152234169,0.856440095,0.677464602,0.319269396,0.381055907,0.737894911,0.97037023,0.665798078,0.141884941,0.323702649,0.475819656,0.364158024,0.99437545,0.999556982,0.222650958,0.588240361,0.082555944,0.49234375,0.354786224,0.419433721,0.247207772,0.428377813,0.104141536,0.259610309,0.258976876,0.361547863,0.177998471,0.171166378,0.430201478,0.29705358,0.171821738,0.096407169,0.098666223,0.229646221,0.11551806,0.99872351,0.337382836,0.472088769,0,0.297191074,0.339900624,0.669624503
ULTRACEMCO,0.543545723,0.258727215,0.137845038,0.206828078,0.295165872,0.368065627,0.921148552,0.201248475,0.48480192,0.994938247,0.692056025,0.381683558,0.731392061,0.476779244,0.820129011,0.561275256,0.090072882,0.164103053,0.196174787,0.150894882,0.888494094,0.973000909,0.178290384,0.561516323,0.238799589,0.453921861,0.231435684,0.676249242,0.130016613,0.392563698,0.21966451,0.490422461,0.538865293,0.49504764,0.492675721,0.326919228,0.5376204,0.46661517,0.337013222,0.240092037,0.317482787,0.167458721,0.232935824,0.890300598,0.179649544,0.332001095,0.297191074,0,0.219498428,0.374296852
UPL,0.42474753,0.199433174,0.253977397,0.240602784,0.374583166,0.386405078,0.882972379,0.261864714,0.492225468,0.997446921,0.82534956,0.342749296,0.683177363,0.54546245,0.896628105,0.651347541,0.155826773,0.335072284,0.466432571,0.390833799,0.945574376,0.973268077,0.186516864,0.675235646,0.288254678,0.501506106,0.259142146,0.727547319,0.149266788,0.569064207,0.333234666,0.505242508,0.511137539,0.675633301,0.466929166,0.320412454,0.478051548,0.386546068,0.276406487,0.240705609,0.312180236,0.200191738,0.260236591,0.873754804,0.266522517,0.431204986,0.339900624,0.219498428,0,0.454721135
WIPRO,0.847243313,0.487081911,0.396367344,0.368192811,0.775366658,0.714350371,0.500826664,0.375680361,0.847690888,0.919852125,0.986599159,0.57406103,0.99816422,0.10242945,0.72653794,0.572256532,0.449763915,0.267022588,0.554670671,0.578604278,0.658395988,0.94694072,0.347276584,0.894248862,0.730487431,0.822209591,0.186406824,0.999460971,0.452990361,0.596711498,0.73975412,0.913431649,0.883111228,0.869678278,0.920999655,0.629302895,0.863706866,0.616860046,0.653480582,0.69693874,0.737893887,0.394863811,0.554108602,0.411173978,0.223257431,0.118643294,0.669624503,0.374296852,0.454721135,0
