Date,Open,High,Low,Close,Adj Close,Volume
14-01-2013,659.5,674.224976,653.674988,667.25,532.850403,5790224
15-01-2013,695,700,663.5,668.724976,534.028076,8262978
16-01-2013,668.450012,677.5,654.5,673.875,538.140991,4109492
17-01-2013,674.849976,685.900024,671.5,681,543.830872,3028544
18-01-2013,681.25,683.025024,669.025024,675.5,539.438477,1440470
21-01-2013,676.25,677.450012,663.549988,665,531.053589,1260038
22-01-2013,663,665.849976,654.049988,658.75,526.062378,1386630
23-01-2013,657.875,661.875,649.200012,655.974976,525.04187,1877654
24-01-2013,652.5,668.450012,652.5,664.275024,531.685425,3498470
25-01-2013,661.875,672.5,661.875,670.25,536.46759,1521100
28-01-2013,670.150024,674.974976,668.974976,672.525024,538.288818,2428154
29-01-2013,670.599976,678.275024,670.150024,672.474976,538.248474,1731804
30-01-2013,670.5,674.924988,667.900024,673.075012,538.728638,2279144
31-01-2013,674.424988,676.224976,663.200012,672.075012,537.92804,4313168
01-02-2013,672,676,671.075012,674.049988,539.509155,1484540
04-02-2013,674.5,683.900024,672.575012,678.174988,542.810791,2487304
05-02-2013,672.549988,682.5,672.549988,680.025024,544.291626,2161994
06-02-2013,681.25,687.950012,681,685.275024,548.493652,3573706
07-02-2013,680.5,695,680.5,693.575012,555.136902,2612782
08-02-2013,693,718.5,692.549988,711.299988,569.324097,6973618
11-02-2013,712,714.450012,706.125,707.349976,566.162292,2312126
12-02-2013,704.525024,707.5,700.924988,705.025024,564.301514,2225502
13-02-2013,704.900024,720.825012,702.549988,717.700012,574.446472,3822666
14-02-2013,715.049988,727.900024,714.5,723.849976,579.368958,2946958
15-02-2013,722,725.900024,715.325012,721.075012,577.147949,1820790
18-02-2013,720.049988,720.950012,710,712.674988,570.424438,952086
19-02-2013,710.799988,724.450012,706.349976,721.775024,577.70813,744294
20-02-2013,720.75,728.5,720.75,726.400024,581.409851,2261518
21-02-2013,720.349976,728.424988,720.349976,725.525024,580.709717,3849146
22-02-2013,725,732.025024,721.150024,727.549988,582.330627,1310694
25-02-2013,726.5,737.5,725.75,736.849976,589.774231,1730030
26-02-2013,733.5,749.974976,733,748.200012,598.858765,2853670
27-02-2013,747.625,751.525024,738.650024,741.599976,593.576233,2556682
28-02-2013,743.125,762.5,742.625,758.5,607.102844,4599424
01-03-2013,757.549988,758,749,750.924988,601.039856,2537326
04-03-2013,745.5,759.950012,745.5,756.599976,605.581848,3136076
05-03-2013,758.5,771.5,754.299988,770.075012,616.367371,3440054
06-03-2013,768.075012,782.75,768.075012,780.599976,624.791687,2299510
07-03-2013,780.5,798.799988,779.674988,794.950012,636.277222,3908702
08-03-2013,795,797.825012,787.450012,791.575012,633.57605,4341502
11-03-2013,787.5,794.775024,778.325012,783.099976,626.792603,2221330
12-03-2013,779,783.974976,774,780.25,624.511536,1809452
13-03-2013,778.025024,779.349976,774,775.849976,620.989929,1794496
14-03-2013,778.5,788.5,771.900024,783.849976,627.392944,3051218
15-03-2013,786,790.200012,780.299988,785.125,628.41333,4212398
18-03-2013,779.924988,786.825012,777.200012,783.474976,627.092957,1694988
19-03-2013,782.25,782.25,770.224976,773.375,619.008728,3739910
20-03-2013,770,786.325012,769.974976,778.825012,623.370789,4168136
21-03-2013,781.5,787.200012,776.849976,779.974976,624.29126,1664604
22-03-2013,780.700012,781.049988,766,771.075012,617.168091,2714456
25-03-2013,774.25,776,764.200012,771.674988,617.648315,1857316
26-03-2013,770.049988,785,768.075012,778.174988,622.850769,1781536
28-03-2013,778,791.700012,770.825012,787.875,630.614502,3065662
01-04-2013,782.5,786.849976,775.625,778.424988,623.050476,968812
02-04-2013,778,785.599976,770.625,783.674988,627.252625,1130332
03-04-2013,785,787.5,765.5,771.700012,617.668213,959932
04-04-2013,770.049988,770.049988,750.5,753.900024,603.421143,1126338
05-04-2013,752.5,754.674988,742.049988,749.174988,599.638977,1865248
08-04-2013,749.450012,749.450012,737.5,740.375,592.595459,896416
09-04-2013,740,756.5,738.799988,748.700012,599.258789,1672354
10-04-2013,754.950012,769.450012,750.5,765.224976,612.485535,2046284
11-04-2013,770,775.049988,760.349976,768.450012,615.066895,2244658
12-04-2013,740.950012,762.25,739.174988,755.875,605.001953,5032060
15-04-2013,756.75,757,724.174988,736.224976,589.273804,5391496
16-04-2013,735,746.724976,728.974976,741.575012,593.555908,3071582
17-04-2013,747.5,749.5,715.5,728.325012,582.950867,5279004
18-04-2013,743.974976,747.450012,713.724976,726.375,581.390015,8554458
22-04-2013,723,729.900024,712.5,712.650024,570.404785,2962484
23-04-2013,712.224976,724,712,715.275024,572.505615,3384170
25-04-2013,715.275024,715.275024,699.325012,701.150024,561.19989,7929194
26-04-2013,696.5,696.724976,682.549988,684.674988,548.013367,4754076
29-04-2013,682.5,692.349976,682.5,685.375,548.573547,3968916
30-04-2013,684,691,682.5,689.200012,551.635193,4020570
02-05-2013,686.75,719.400024,686.75,716.950012,573.84613,5630326
03-05-2013,713,723.625,703.950012,709.25,567.683167,3641790
06-05-2013,710,736.200012,710,733.599976,587.172913,3727118
07-05-2013,733.549988,739.424988,728.700012,735.799988,588.933716,2260180
08-05-2013,736,743.900024,735,740.049988,592.33551,1768130
09-05-2013,741.599976,751.724976,741.5,749.224976,599.679016,1949700
10-05-2013,749.224976,755.450012,745.549988,747.950012,598.658691,1139714
13-05-2013,740,740.5,722.849976,725.799988,580.92981,1862498
14-05-2013,727.549988,735.275024,721.875,728.974976,583.471252,2250100
15-05-2013,729.049988,738.599976,725,735.775024,588.913818,3565926
16-05-2013,734.5,734.5,723.724976,727.025024,581.910156,2415652
17-05-2013,727.5,739.25,727.049988,736.900024,589.814209,2900200
20-05-2013,735.625,739,730.5,736.200012,589.253967,1385504
21-05-2013,732.5,751,732.5,746.424988,597.438049,1898432
22-05-2013,749,754.575012,746.150024,749.200012,599.658997,1846944
23-05-2013,747.5,763.375,739.174988,746.349976,597.378113,3063962
24-05-2013,750,751.474976,731.799988,734.775024,588.113342,1586612
27-05-2013,734.75,750,730,749,599.499023,2023864
28-05-2013,749,758.25,745.150024,757.049988,605.942261,1400254
29-05-2013,758,763.75,742.549988,748.674988,599.238892,1452038
30-05-2013,750,756,743.5,749.700012,600.059265,2408346
31-05-2013,745.5,754.625,738.375,749.224976,599.679016,1929868
03-06-2013,752,753.5,728.549988,734.700012,588.053467,3097612
04-06-2013,730,736.950012,725.075012,732.674988,586.432678,1305320
05-06-2013,730.549988,736.325012,726.349976,733.900024,587.413269,1728676
06-06-2013,726.849976,739.25,726.025024,735.375,593.853271,2540452
07-06-2013,735.049988,769.5,734,759.474976,613.315063,3550844
10-06-2013,762.525024,772.349976,759.549988,762.525024,615.778137,3360430
11-06-2013,765.099976,771,746,750.775024,606.289551,2205468
12-06-2013,747.049988,747.549988,731.025024,734.049988,592.783325,4805954
13-06-2013,730,732,717.549988,722.825012,583.718506,3151342
14-06-2013,724,728.625,715.5,725.349976,585.757507,3105996
17-06-2013,726.5,732.5,714,726.224976,586.464172,2584162
18-06-2013,727.5,730,720.075012,721.900024,582.971436,2291528
19-06-2013,727.450012,727.450012,711.775024,713.849976,576.470581,2139788
20-06-2013,710.5,716.575012,699.549988,702.25,567.103088,4172878
21-06-2013,704.400024,715.924988,704,711.125,574.270142,2848224
24-06-2013,707.5,717.049988,700.049988,705.349976,569.606628,1889164
25-06-2013,706.75,713.549988,690.349976,696.150024,562.176941,1860548
26-06-2013,698.450012,723.875,690.525024,718.849976,580.508484,2326488
27-06-2013,723.900024,748.5,721,745.950012,602.393127,3820678
28-06-2013,747.5,762.150024,729.099976,759.075012,612.99231,4817096
01-07-2013,756,758.349976,741.700012,746.174988,602.574585,1354652
02-07-2013,746.549988,754.25,743.325012,750.275024,605.885681,1657242
03-07-2013,748.849976,759.5,732.5,744.900024,601.545105,1530906
04-07-2013,745.424988,770.5,745,769.150024,621.128296,1917060
05-07-2013,771,779,761,765.099976,617.857605,1293012
08-07-2013,764,767.5,750,753.325012,608.348877,1658796
09-07-2013,747.650024,760.875,747.650024,752.450012,607.642334,1097326
10-07-2013,755,763.400024,749,755.974976,610.488586,1322624
11-07-2013,760,785,760,782.275024,631.727539,2335274
12-07-2013,797.5,812.400024,789.650024,804.924988,650.018555,3251536
15-07-2013,800.549988,823.650024,799.650024,820.875,662.898865,2060570
16-07-2013,812.5,833.174988,808.799988,824.674988,665.967529,2224986
17-07-2013,822.525024,842.474976,822.525024,839.25,677.73761,2999250
18-07-2013,840,846.150024,822,830.200012,670.429443,3445532
19-07-2013,859.5,879.5,850,871.400024,703.700439,8550804
22-07-2013,870.5,879.400024,864.150024,873.25,705.194458,2974772
23-07-2013,874,890.224976,871.799988,874.900024,706.5271,1646502
24-07-2013,874.25,896,872.5,891.400024,719.851379,2181644
25-07-2013,890,905,883.349976,897.875,725.080566,4088808
26-07-2013,897.5,899.474976,875.049988,887.25,716.500061,2379064
29-07-2013,879,897.299988,878.625,889.599976,720.020752,1774262
30-07-2013,890,902.474976,887.724976,896.150024,725.322327,2617484
31-07-2013,895,915.75,894.724976,907.75,734.711121,2826750
01-08-2013,905.025024,917.400024,895,907.700012,734.670532,2141178
02-08-2013,909.849976,924.950012,908.349976,922.924988,746.993347,1846854
05-08-2013,920,938.700012,920,933.599976,755.633545,2355184
06-08-2013,936.5,940.974976,932.325012,935.049988,756.807129,2305290
07-08-2013,937,945.450012,906.724976,911.349976,737.624695,2694980
08-08-2013,902.549988,928.075012,891.849976,922.700012,746.811279,2158628
12-08-2013,920.5,920.5,904.075012,907,734.104248,2077574
13-08-2013,910.099976,922.424988,904.974976,909.900024,736.451233,2168296
14-08-2013,912.25,929,901,916.75,741.995483,3302068
16-08-2013,912.099976,915,877.775024,890.450012,720.70874,2779930
19-08-2013,899,903.5,877.775024,888.724976,719.312622,2121352
20-08-2013,894.900024,894.900024,865,868.200012,702.700256,2724844
21-08-2013,870.049988,871.849976,850.575012,858.900024,695.173035,3623994
22-08-2013,852.5,898.575012,847.599976,889.474976,719.919739,4260988
23-08-2013,897,919,892.150024,914.724976,740.356506,4032884
26-08-2013,911.549988,939.299988,907,921,745.435181,2663238
27-08-2013,919.5,939.424988,915,919.400024,744.14032,1945284
28-08-2013,914,973.049988,914,953.950012,772.104309,4444684
29-08-2013,950.5,985,939.150024,973.549988,787.967773,5905182
30-08-2013,969.5,1025,965,1016.599976,822.811768,5282942
02-09-2013,1010,1034.5,1008.75,1028.425049,832.382568,2154034
03-09-2013,1025.050049,1033.5,993.075012,1000.549988,809.821167,2355064
04-09-2013,1000,1039.400024,996.974976,1034.550049,837.339966,2626516
05-09-2013,1034.5,1034.5,990.525024,995.375,805.632507,3927492
06-09-2013,1004.5,1012.5,987.5,994.400024,804.843506,2759596
10-09-2013,993,1008.349976,990.5,993.950012,804.479187,4300972
11-09-2013,1004,1009,991.75,996.900024,806.867004,3008494
12-09-2013,997.5,999.275024,972.900024,983.950012,796.385681,1905568
13-09-2013,982.5,995,973.275024,976.875,790.659119,2096320
16-09-2013,975,992.5,947.025024,951.275024,769.939148,2460506
17-09-2013,950,976.275024,948.549988,973.724976,788.109741,3327816
18-09-2013,971.025024,982.400024,968.950012,977.25,790.962585,2109818
19-09-2013,974,995,963.25,983.150024,795.737793,3907240
20-09-2013,975,994.950012,970.5,975.150024,789.263123,3591858
23-09-2013,975,988.599976,970,977.549988,791.205444,2988758
24-09-2013,977.5,988.950012,963,969.75,784.892456,4940300
25-09-2013,970.75,985.474976,960.099976,979.525024,792.804016,4333858
26-09-2013,977.400024,987.049988,967.549988,971.450012,786.268494,4919704
27-09-2013,971.549988,980.974976,968.724976,974.049988,788.372742,1784666
30-09-2013,977,980.924988,960,963.900024,780.15741,1987350
01-10-2013,966,977.424988,958.349976,974.525024,788.757202,1591994
03-10-2013,985.900024,1018.450012,980.200012,1012.299988,819.331238,4672354
04-10-2013,1016,1034.5,1013.474976,1016.799988,822.973511,1934032
07-10-2013,1017.5,1048.849976,1012.650024,1044.875,845.696899,1993878
08-10-2013,1041.5,1049,1028.275024,1030.724976,834.244141,1828106
09-10-2013,1027.75,1048.824951,1022.549988,1045.425049,846.141846,1775858
10-10-2013,1044,1049,1033.625,1040,841.751099,1164320
11-10-2013,1051.5,1069,1041.199951,1061.025024,858.768066,2284448
14-10-2013,1063.75,1112.5,1062.5,1106.375,895.473328,4374460
15-10-2013,1117.5,1129.425049,1100.5,1107.699951,896.545776,4665092
17-10-2013,1115,1115,1047.849976,1054.224976,853.264465,6687214
18-10-2013,1052.400024,1066.900024,1030.775024,1060.324951,858.201599,5346166
21-10-2013,1062.5,1063.974976,1025,1035.824951,838.372009,3685372
22-10-2013,1044,1053.824951,1038.425049,1044.675049,845.534912,2044614
23-10-2013,1044.25,1051.5,1023.075012,1030.574951,834.122803,2455496
24-10-2013,1021,1041.175049,1000.924988,1004.349976,812.896729,3617758
25-10-2013,997.5,1036,997.5,1033.875,838.463379,2527402
28-10-2013,1034,1044.900024,1026.275024,1031.974976,836.922302,1803942
29-10-2013,1032.5,1042.900024,1023.950012,1034.900024,839.294495,1829076
30-10-2013,1035.125,1050,1035.125,1045.974976,848.276184,2114874
31-10-2013,1044.5,1064.5,1039.699951,1056.025024,856.426697,3523076
01-11-2013,1055,1070.974976,1045.550049,1048.800049,850.567444,1346480
05-11-2013,1050,1052.5,1015.849976,1021,828.021729,2261286
06-11-2013,1031.5,1051.775024,1029.525024,1045.550049,847.931702,1667750
07-11-2013,1050,1074.074951,1040.150024,1060.974976,860.441284,1956948
08-11-2013,1065,1065.875,1035.599976,1045.425049,847.8302,1609346
11-11-2013,1045,1070,1025,1047.324951,849.371155,1961138
12-11-2013,1048.425049,1060.849976,1039.5,1043.574951,846.329529,1000682
13-11-2013,1049.474976,1053.099976,1021.825012,1024.5,830.860352,1208338
14-11-2013,1036,1036,1010.924988,1013.099976,821.614746,2129704
18-11-2013,1023,1029.949951,1016.125,1022,828.832764,2831602
19-11-2013,1024.974976,1027.5,1010.599976,1014.950012,823.115479,2077864
20-11-2013,1023.424988,1024.949951,1008.5,1011.799988,820.56073,1658696
21-11-2013,1011.599976,1017.349976,990,993.299988,805.55719,2302882
22-11-2013,995.5,1005.5,992.549988,1000.424988,811.335632,1494494
25-11-2013,1004,1013.424988,996.549988,1006.625,816.363586,1950998
26-11-2013,1001.549988,1008.224976,993.5,996.849976,808.436218,2047412
27-11-2013,1004.5,1006.849976,987.5,993.224976,805.496399,2120978
28-11-2013,996.549988,998.275024,985,992.299988,804.746399,2805722
29-11-2013,996,1007.349976,990.900024,1002.174988,812.754883,1924812
02-12-2013,997.5,1010.5,997.5,1006.950012,816.627441,1253260
03-12-2013,1008.025024,1021,1007.525024,1010.400024,819.425415,1449184
04-12-2013,1009.950012,1015.799988,996.825012,1000.025024,811.01123,1519036
05-12-2013,1008,1016.775024,991.525024,993.575012,805.780273,1397190
06-12-2013,995.5,1005,995.5,1000.150024,811.11261,1446962
09-12-2013,1014.5,1014.974976,1000,1002.424988,812.957581,1826340
10-12-2013,1000,1044.5,1000,1041.375,844.545715,3653334
11-12-2013,1039.5,1043.425049,1021.5,1029.025024,834.529846,1556062
12-12-2013,1022.5,1032,1012.549988,1014.450012,822.710022,1655964
13-12-2013,1018.974976,1022.5,997.5,1000.900024,811.720764,3463350
16-12-2013,1006.849976,1019.900024,1002.575012,1009.575012,818.756165,2858500
17-12-2013,1015.799988,1032.925049,1015,1022.674988,829.380005,2995474
18-12-2013,1020,1035.5,1019,1027.900024,833.617493,1587990
19-12-2013,1037.974976,1055,1031.324951,1040.75,844.038818,2161986
20-12-2013,1044.050049,1065,1042.925049,1060.275024,859.873474,1965812
23-12-2013,1064.974976,1071.724976,1048.974976,1054.525024,855.210327,1321224
24-12-2013,1059.900024,1064.5,1052.125,1055.349976,855.879272,870156
26-12-2013,1057.5,1058.5,1045.724976,1050.150024,851.662231,2297194
27-12-2013,1053.5,1084.949951,1052.5,1080.324951,876.133667,2479946
30-12-2013,1085,1087.625,1073.349976,1078.025024,874.268677,1668776
31-12-2013,1080.050049,1092.474976,1075.449951,1086.025024,880.756287,1245776
